"SiteID","Longitude","Latitude","GPP"
"icr024995",-6.85983,34.1945,3.15783179861111
"icr024999",-6.85861,34.1954,3.15783179861111
"icr025000",-6.8595,34.1966,3.15783179861111
"icr025001",-6.86013,34.1951,3.15783179861111
"icr025002",-6.86013,34.1951,3.15783179861111
"icr025003",-6.85829,34.1994,3.15783179861111
"icr025006",-6.92494,34.2156,3.12180023611111
"icr025008",-6.92561,34.2149,3.12180023611111
"icr025011",-6.92556,34.221,3.12180023611111
"icr025016",-6.90417,34.2157,3.15783179861111
"icr025019",-6.90227,34.2096,3.15783179861111
"icr025020",-6.89868,34.2111,3.15783179861111
"icr025021",-6.89868,34.2111,3.15783179861111
"icr025023",-6.90098,34.2145,3.15783179861111
"icr025024",-6.90273,34.2175,3.15783179861111
"icr025026",-6.89852,34.2162,3.15783179861111
"icr025029",-6.9036,34.214,3.15783179861111
"icr025030",-6.89926,34.2123,3.15783179861111
"icr025039",-6.88024,34.2244,3.15783179861111
"icr025040",-6.87872,34.224,3.15783179861111
"icr025041",-6.87872,34.224,3.15783179861111
"icr025047",-6.88134,34.2259,3.15783179861111
"icr025049",-6.88085,34.2209,3.15783179861111
"icr025050",-6.88085,34.2209,3.15783179861111
"icr025054",-6.87678,34.2229,3.15783179861111
"icr025056",-6.85391,34.2128,3.15783179861111
"icr025060",-6.85503,34.2135,3.15783179861111
"icr025061",-6.85828,34.2148,3.15783179861111
"icr025062",-6.85828,34.2148,3.15783179861111
"icr025063",-6.85538,34.2165,3.15783179861111
"icr025065",-6.86073,34.2191,3.15783179861111
"icr025066",-6.86073,34.2191,3.15783179861111
"icr025068",-6.85567,34.2118,3.15783179861111
"icr025071",-6.86156,34.2134,3.15783179861111
"icr025072",-6.85943,34.2136,3.15783179861111
"icr025077",-6.92,34.2376,3.12180023611111
"icr025078",-6.9191,34.2396,3.12180023611111
"icr025080",-6.92211,34.2423,3.12180023611111
"icr025082",-6.92542,34.2379,3.12180023611111
"icr025085",-6.9219,34.2379,3.12180023611111
"icr025087",-6.91947,34.2422,3.12180023611111
"icr025089",-6.91815,34.2404,3.12180023611111
"icr025094",-6.89568,34.2389,3.15783179861111
"icr025096",-6.90033,34.2341,3.15783179861111
"icr025097",-6.90167,34.2364,3.15783179861111
"icr025102",-6.90205,34.2408,3.15783179861111
"icr025105",-6.90338,34.2379,3.15783179861111
"icr025106",-6.90338,34.2379,3.15783179861111
"icr025109",-6.90026,34.2367,3.15783179861111
"icr025110",-6.90026,34.2367,3.15783179861111
"icr025112",-6.87731,34.2456,3.15783179861111
"icr025116",-6.88005,34.2458,3.15783179861111
"icr025121",-6.87291,34.2448,3.15783179861111
"icr025129",-6.85596,34.2464,3.15783179861111
"icr025130",-6.85962,34.2423,3.15783179861111
"icr025132",-6.85881,34.2471,3.15783179861111
"icr025133",-6.85634,34.243,3.15783179861111
"icr025137",-6.85685,34.24,3.15783179861111
"icr025138",-6.85892,34.2405,3.15783179861111
"icr025140",-6.85408,34.2479,3.15783179861111
"icr030027",8.58001,34.9821,4.17522971527778
"icr030029",8.58175,34.9841,4.17522971527778
"icr030033",8.57914,34.9808,4.17522971527778
"icr030036",8.57382,34.9829,4.17522971527778
"icr030037",8.57438,34.9811,4.17522971527778
"icr030039",8.58038,34.9851,4.17522971527778
"icr030040",8.58038,34.9851,4.17522971527778
"icr030042",8.57633,34.9833,4.17522971527778
"icr030043",8.60079,34.985,4.19459488194444
"icr030051",8.60196,34.9883,4.19459488194444
"icr030052",8.60196,34.9883,4.19459488194444
"icr030055",8.60019,34.982,4.19459488194444
"icr030063",8.62985,34.9838,4.19459488194444
"icr030070",8.62903,34.98,4.19459488194444
"icr030082",8.62545,34.9803,4.19459488194444
"icr030083",8.65488,34.9879,4.19459488194444
"icr030088",8.64857,34.9862,4.19459488194444
"icr030094",8.65265,34.9893,4.19459488194444
"icr030096",8.65001,34.9901,4.19459488194444
"icr030097",8.65557,34.9827,4.19459488194444
"icr030098",8.65557,34.9827,4.19459488194444
"icr030101",8.65034,34.9818,4.19459488194444
"icr030113",8.58142,35.0001,4.05426196527778
"icr030114",8.58142,35.0001,4.05426196527778
"icr030115",8.58397,35.003,3.93082409027778
"icr030118",8.57494,35.0016,4.05426196527778
"icr030119",8.57953,35.0079,4.05426196527778
"icr030122",8.58039,35.0046,4.05426196527778
"icr030123",8.59929,35.0006,3.93082409027778
"icr030124",8.59929,35.0006,3.93082409027778
"icr030126",8.59727,34.9997,4.19459488194444
"icr030127",8.59832,34.9998,4.19459488194444
"icr030128",8.59832,34.9998,4.19459488194444
"icr030129",8.60032,34.999,4.19459488194444
"icr030131",8.60511,35.0048,3.93082409027778
"icr030132",8.60511,35.0048,3.93082409027778
"icr030133",8.60125,34.9994,4.19459488194444
"icr030134",8.60125,34.9994,4.19459488194444
"icr030136",8.59852,35.0021,3.93082409027778
"icr030137",8.60102,34.9998,4.19459488194444
"icr030138",8.60102,34.9998,4.19459488194444
"icr030139",8.60509,35.0035,3.93082409027778
"icr030142",8.60583,35.004,3.93082409027778
"icr030144",8.62714,35.0078,3.93082409027778
"icr030145",8.62525,35.0053,3.93082409027778
"icr030146",8.62525,35.0053,3.93082409027778
"icr030148",8.62543,35.0024,3.93082409027778
"icr030150",8.62879,35.0088,3.93082409027778
"icr030155",8.62932,35.0038,3.93082409027778
"icr030156",8.62932,35.0038,3.93082409027778
"icr030160",8.62853,35.0027,3.93082409027778
"icr030162",8.6267,35.004,3.93082409027778
"icr030168",8.6487,35.0016,3.93082409027778
"icr030169",8.64767,34.999,4.19459488194444
"icr030170",8.64767,34.999,4.19459488194444
"icr030174",8.64686,35.0003,3.93082409027778
"icr030176",8.64603,35.0015,3.93082409027778
"icr030177",8.64603,35.0015,3.93082409027778
"icr030179",8.643,35.005,3.93082409027778
"icr030181",8.5774,35.0232,4.05426196527778
"icr030185",8.57848,35.0277,4.05426196527778
"icr030187",8.57979,35.0275,4.05426196527778
"icr030190",8.58048,35.0256,4.05426196527778
"icr030191",8.58048,35.0256,4.05426196527778
"icr030192",8.57611,35.0237,4.05426196527778
"icr030195",8.57946,35.0232,4.05426196527778
"icr030196",8.58109,35.0242,4.05426196527778
"icr030203",8.60042,35.024,3.93082409027778
"icr030206",8.60711,35.0269,3.93082409027778
"icr030207",8.60711,35.0269,3.93082409027778
"icr030209",8.60696,35.0205,3.93082409027778
"icr030211",8.60368,35.0254,3.93082409027778
"icr030214",8.60314,35.0198,3.93082409027778
"icr030215",8.60314,35.0198,3.93082409027778
"icr030225",8.62238,35.0345,3.93082409027778
"icr030227",8.62095,35.034,3.93082409027778
"icr030231",8.61953,35.0302,3.93082409027778
"icr030232",8.61858,35.0379,3.93082409027778
"icr030234",8.61986,35.0376,3.93082409027778
"icr030237",8.62448,35.0347,3.93082409027778
"icr030242",8.643,35.0253,3.93082409027778
"icr030243",8.643,35.0253,3.93082409027778
"icr030244",8.64308,35.03,3.93082409027778
"icr030251",8.64685,35.0279,3.93082409027778
"icr030257",8.64411,35.0248,3.93082409027778
"icr030260",8.58039,35.045,4.05426196527778
"icr030265",8.58103,35.043,4.05426196527778
"icr030268",8.5773,35.0459,4.05426196527778
"icr030269",8.5773,35.0459,4.05426196527778
"icr030270",8.58223,35.0431,4.05426196527778
"icr030271",8.58223,35.0431,4.05426196527778
"icr030273",8.57915,35.0442,4.05426196527778
"icr030277",8.60308,35.0485,3.93082409027778
"icr030279",8.59941,35.0526,3.93082409027778
"icr030282",8.59956,35.0464,3.93082409027778
"icr030283",8.59956,35.0464,3.93082409027778
"icr030284",8.59954,35.0543,3.93082409027778
"icr030288",8.60147,35.0474,3.93082409027778
"icr030291",8.59879,35.0508,3.93082409027778
"icr030295",8.60285,35.0471,3.93082409027778
"icr030299",8.62743,35.0549,3.93082409027778
"icr030300",8.62189,35.0485,3.93082409027778
"icr030301",8.62189,35.0485,3.93082409027778
"icr030303",8.62566,35.047,3.93082409027778
"icr030304",8.62449,35.0493,3.93082409027778
"icr030305",8.62449,35.0493,3.93082409027778
"icr030309",8.62133,35.05,3.93082409027778
"icr030310",8.62408,35.0544,3.93082409027778
"icr030313",8.62492,35.0535,3.93082409027778
"icr030315",8.62254,35.0497,3.93082409027778
"icr030319",8.64405,35.045,3.93082409027778
"icr030321",8.64543,35.046,3.93082409027778
"icr030323",8.64572,35.0442,3.93082409027778
"icr030324",8.64572,35.0442,3.93082409027778
"icr030325",8.65047,35.0515,3.93082409027778
"icr030326",8.6471,35.0527,3.93082409027778
"icr030328",8.64772,35.049,3.93082409027778
"icr030329",8.64772,35.049,3.93082409027778
"icr030330",8.64678,35.0486,3.93082409027778
"icr030331",8.64678,35.0486,3.93082409027778
"icr030332",8.64656,35.05,3.93082409027778
"icr030334",9.5747,42.6646,1.77173586805556
"icr030335",9.57485,42.6668,1.39056216666667
"icr030338",9.57082,42.6633,1.77173586805556
"icr030342",9.5746,42.6685,1.39056216666667
"icr030345",9.57561,42.6622,1.77173586805556
"icr030346",9.57105,42.6648,1.77173586805556
"icr030351",9.5978,42.6639,1.90733334722222
"icr030361",9.59646,42.6678,1.34500747916667
"icr030365",9.61545,42.67,1.34500747916667
"icr030366",9.61621,42.6631,1.90733334722222
"icr030369",9.61302,42.6662,1.90733334722222
"icr030370",9.61572,42.6645,1.90733334722222
"icr030371",9.61572,42.6645,1.90733334722222
"icr030372",9.61518,42.6655,1.90733334722222
"icr030373",9.61518,42.6655,1.90733334722222
"icr030375",9.61068,42.668,1.34500747916667
"icr030379",9.63182,42.6603,1.90733334722222
"icr030381",9.6356,42.6652,1.90733334722222
"icr030382",9.6356,42.6652,1.90733334722222
"icr030383",9.63701,42.6643,1.90733334722222
"icr030386",9.56341,42.6959,1.39056216666667
"icr030393",9.56083,42.6941,1.39056216666667
"icr030397",9.56423,42.6906,1.39056216666667
"icr030407",9.58398,42.69,1.34500747916667
"icr030408",9.58398,42.69,1.34500747916667
"icr030409",9.59122,42.6941,1.34500747916667
"icr030411",9.58551,42.6935,1.34500747916667
"icr030419",9.61572,42.6864,1.34500747916667
"icr030420",9.61236,42.6885,1.34500747916667
"icr030422",9.61791,42.6872,1.34500747916667
"icr030424",9.61676,42.6924,1.34500747916667
"icr030425",9.61179,42.6911,1.34500747916667
"icr030426",9.62883,42.6961,1.34500747916667
"icr030427",9.63117,42.6941,1.34500747916667
"icr030428",9.62812,42.694,1.34500747916667
"icr030432",9.63401,42.6944,1.34500747916667
"icr030434",9.63045,42.6934,1.34500747916667
"icr030435",9.63647,42.6925,1.34500747916667
"icr030475",9.58813,42.7083,1.34500747916667
"icr030480",9.61501,42.7077,1.34500747916667
"icr030481",9.61501,42.7077,1.34500747916667
"icr030482",9.61841,42.7104,1.34500747916667
"icr030483",9.61841,42.7104,1.34500747916667
"icr030485",9.61614,42.7058,1.34500747916667
"icr030486",9.61318,42.7073,1.34500747916667
"icr030488",9.61915,42.7039,1.34500747916667
"icr030489",9.61835,42.7084,1.34500747916667
"icr030490",9.61835,42.7084,1.34500747916667
"icr030492",9.62101,42.7046,1.34500747916667
"icr030493",9.6168,42.7048,1.34500747916667
"icr030495",9.6363,42.7197,1.34500747916667
"icr030513",9.5644,42.7308,1.39056216666667
"icr030514",9.5644,42.7308,1.39056216666667
"icr030515",9.56857,42.7323,1.39056216666667
"icr030529",9.5663,42.734,1.39056216666667
"icr030540",9.58583,42.7312,1.34500747916667
"icr030547",9.59219,42.7282,1.34500747916667
"icr030555",9.60924,42.7384,1.34500747916667
"icr030588",9.6335,42.7364,1.34500747916667
"icr033353",-0.147003,38.99,1.41117472222222
"icr033358",-0.148845,38.9983,1.41117472222222
"icr033360",-0.148078,38.9924,1.41117472222222
"icr033374",-0.134357,38.9905,1.41117472222222
"icr033379",-0.129598,38.9917,1.41117472222222
"icr033381",-0.129252,38.9893,1.41117472222222
"icr033391",-0.105332,38.9925,1.41117472222222
"icr033393",-0.102418,38.9889,1.41117472222222
"icr033394",-0.105678,38.9949,1.41117472222222
"icr033395",-0.102843,38.988,1.41117472222222
"icr033396",-0.107342,38.9924,1.41117472222222
"icr033398",-0.103025,38.9943,1.41117472222222
"icr033399",-0.103025,38.9943,1.41117472222222
